symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,1.7688842490315437e-05
0,TVAE,16-8,1.7659971490502357e-05
0,TVAE,16-8,1.7079990357160568e-05
0,TVAE,16-8,1.8058111891150475e-05
0,TVAE,16-8,1.850910484790802e-05
0,TVAE,16-8,2.5747111067175865e-05
0,TVAE,16-8,1.7838086932897568e-05
0,TVAE,16-8,1.7798040062189102e-05
0,TVAE,16-8,2.4802982807159424e-05
0,TVAE,16-8,1.7951009795069695e-05
0,TVAE,16-8,1.722807064652443e-05
0,TVAE,16-8,3.654998727142811e-05
0,TVAE,16-8,2.5518937036395073e-05
0,TVAE,16-8,1.7085811123251915e-05
0,TVAE,16-8,1.7300015315413475e-05
0,TVAE,16-8,1.7251819372177124e-05
0,TVAE,16-8,1.74068845808506e-05
0,TVAE,16-8,1.693097874522209e-05
0,TVAE,16-8,1.7520971596240997e-05
0,TVAE,16-8,1.7650891095399857e-05
0,TVAE,16-8,1.7211074009537697e-05
0,TVAE,16-8,1.715589314699173e-05
0,TVAE,16-8,1.7408980056643486e-05
0,TVAE,16-8,1.7205020412802696e-05
0,TVAE,16-8,1.725694164633751e-05
0,TVAE,16-8,1.7106998711824417e-05
0,TVAE,16-8,1.754704862833023e-05
0,TVAE,16-8,1.7559854313731194e-05
0,TVAE,16-8,1.71000137925148e-05
0,TVAE,16-8,1.7113983631134033e-05
0,TVAE,16-8,1.7497921362519264e-05
0,TVAE,16-8,1.7395010218024254e-05
0,TVAE,16-8,1.7555896192789078e-05
0,TVAE,16-8,1.7982907593250275e-05
0,TVAE,16-8,1.7464859411120415e-05
0,TVAE,16-8,1.757405698299408e-05
0,TVAE,16-8,1.7415033653378487e-05
0,TVAE,16-8,1.9909115508198738e-05
0,TVAE,16-8,1.9189901649951935e-05
0,TVAE,16-8,1.7985934391617775e-05
0,TVAE,16-8,1.787906512618065e-05
0,TVAE,16-8,1.7854850739240646e-05
0,TVAE,16-8,1.766486093401909e-05
0,TVAE,16-8,1.791398972272873e-05
0,TVAE,16-8,1.7393147572875023e-05
0,TVAE,16-8,1.717405393719673e-05
0,TVAE,16-8,1.7486046999692917e-05
0,TVAE,16-8,1.782202161848545e-05
0,TVAE,16-8,1.8970808014273643e-05
0,TVAE,16-8,1.7550773918628693e-05
0,TVAE,16-8,1.8659047782421112e-05
0,TVAE,16-8,1.7731916159391403e-05
0,TVAE,16-8,1.826602965593338e-05
0,TVAE,16-8,1.7452985048294067e-05
0,TVAE,16-8,1.7633894458413124e-05
0,TVAE,16-8,1.7982209101319313e-05
0,TVAE,16-8,1.8161023035645485e-05
0,TVAE,16-8,1.7574988305568695e-05
0,TVAE,16-8,3.895396366715431e-05
0,TVAE,16-8,1.8096063286066055e-05
0,TVAE,16-8,4.336005076766014e-05
0,TVAE,16-8,1.7418060451745987e-05
0,TVAE,16-8,1.7437152564525604e-05
0,TVAE,16-8,1.6925856471061707e-05
0,TVAE,16-8,1.719803549349308e-05
0,TVAE,16-8,1.702108420431614e-05
0,TVAE,16-8,1.704390160739422e-05
0,TVAE,16-8,1.7145881429314613e-05
0,TVAE,16-8,1.6987090930342674e-05
0,TVAE,16-8,1.7035985365509987e-05
0,TVAE,16-8,1.6893958672881126e-05
0,TVAE,16-8,1.7456011846661568e-05
0,TVAE,16-8,1.7469050362706184e-05
0,TVAE,16-8,1.7137033864855766e-05
0,TVAE,16-8,1.722690649330616e-05
0,TVAE,16-8,1.6912119463086128e-05
0,TVAE,16-8,1.698802225291729e-05
0,TVAE,16-8,1.7118873074650764e-05
0,TVAE,16-8,1.6968930140137672e-05
0,TVAE,16-8,1.6993144527077675e-05
0,TVAE,16-8,1.701083965599537e-05
0,TVAE,16-8,1.6903970390558243e-05
0,TVAE,16-8,1.6978010535240173e-05
0,TVAE,16-8,1.698383130133152e-05
0,TVAE,16-8,1.6964972019195557e-05
0,TVAE,16-8,1.7035985365509987e-05
0,TVAE,16-8,1.7140991985797882e-05
0,TVAE,16-8,1.6901176422834396e-05
0,TVAE,16-8,1.6903970390558243e-05
0,TVAE,16-8,1.7106998711824417e-05
0,TVAE,16-8,1.6870908439159393e-05
0,TVAE,16-8,1.691398210823536e-05
0,TVAE,16-8,1.689605414867401e-05
0,TVAE,16-8,1.689000055193901e-05
0,TVAE,16-8,1.70939601957798e-05
0,TVAE,16-8,1.693097874522209e-05
0,TVAE,16-8,1.6955891624093056e-05
0,TVAE,16-8,1.693516969680786e-05
0,TVAE,16-8,1.692003570497036e-05
0,TVAE,16-8,1.6832957044243813e-05
0,TVAE,16-8,1.6868114471435547e-05
0,TVAE,16-8,1.6856007277965546e-05
0,TVAE,16-8,1.6892096027731895e-05
0,TVAE,16-8,1.6937963664531708e-05
0,TVAE,16-8,1.70939601957798e-05
0,TVAE,16-8,1.7017126083374023e-05
0,TVAE,16-8,1.6954028978943825e-05
0,TVAE,16-8,1.6947975382208824e-05
0,TVAE,16-8,1.6856007277965546e-05
0,TVAE,16-8,1.6804086044430733e-05
0,TVAE,16-8,1.6890931874513626e-05
0,TVAE,16-8,1.689302735030651e-05
0,TVAE,16-8,2.3869099095463753e-05
0,TVAE,16-8,1.7171958461403847e-05
0,TVAE,16-8,1.6977079212665558e-05
0,TVAE,16-8,1.6737030819058418e-05
0,TVAE,16-8,1.684599556028843e-05
0,TVAE,16-8,1.6848091036081314e-05
0,TVAE,16-8,1.7129816114902496e-05
0,TVAE,16-8,1.6844132915139198e-05
0,TVAE,16-8,1.6862992197275162e-05
0,TVAE,16-8,1.6761943697929382e-05
0,TVAE,16-8,1.6689999029040337e-05
0,TVAE,16-8,1.688208431005478e-05
0,TVAE,16-8,1.6734004020690918e-05
0,TVAE,16-8,1.6727950423955917e-05
0,TVAE,16-8,1.676008105278015e-05
0,TVAE,16-8,1.6862992197275162e-05
0,TVAE,16-8,1.6777077689766884e-05
0,TVAE,16-8,1.6686972230672836e-05
0,TVAE,16-8,1.6693025827407837e-05
0,TVAE,16-8,1.6807112842798233e-05
0,TVAE,16-8,1.6773119568824768e-05
0,TVAE,16-8,1.6951002180576324e-05
0,TVAE,16-8,1.6832025721669197e-05
0,TVAE,16-8,1.681293360888958e-05
0,TVAE,16-8,1.6693957149982452e-05
0,TVAE,16-8,1.7001992091536522e-05
